step_start,step_end,mode,avg_time_s,tflops_per_gpu,loss
530,539,native,0.351994,132.93,12.083497
540,549,mori,0.316747,147.72,12.07854
540,549,native,0.354402,132.03,12.07854
550,559,mori,0.315262,148.42,12.081403
550,559,native,0.353128,132.5,12.081403
560,569,mori,0.314957,148.56,12.058258
560,569,native,0.347666,134.58,12.058258
570,579,mori,0.317197,147.51,12.061471
570,579,native,0.347622,134.6,12.061471
580,589,mori,0.315936,148.1,12.070924
580,589,native,0.346668,134.97,12.070924
590,599,mori,0.308991,151.43,12.058636
590,599,native,0.347154,134.78,12.058636
600,609,mori,0.30526,153.28,12.074171
600,609,native,0.347251,134.75,12.074171
610,619,mori,0.30302,154.41,12.057994
610,619,native,0.346153,135.17,12.057994
620,629,mori,0.304736,153.54,12.064913
620,629,native,0.346668,134.97,12.064913
630,639,mori,0.306693,152.56,12.06586
630,639,native,0.346111,135.19,12.06586
640,649,mori,0.306876,152.47,12.047488
640,649,native,0.347987,134.46,12.047488
650,659,mori,0.325355,143.81,12.066884
650,659,native,0.347485,134.65,12.066884
660,669,mori,0.29939,156.29,12.05391
660,669,native,0.347136,134.79,12.05391
670,679,mori,0.303255,154.29,12.043586
670,679,native,0.348642,134.21,12.043586
680,689,mori,0.31217,149.89,12.059426
680,689,native,0.353041,132.54,12.059426
690,699,mori,0.3003,155.81,12.0493
690,699,native,0.36845,126.99,12.0493
700,709,mori,0.306144,152.84,12.038589
700,709,native,0.353665,132.3,12.038589
710,719,mori,0.317536,147.35,12.032067
710,719,native,0.352564,132.71,12.032067
720,729,mori,0.314063,148.98,12.032184
720,729,native,0.352388,132.78,12.032184
730,739,mori,0.314477,148.79,12.019735
730,739,native,0.35372,132.28,12.019735
740,749,mori,0.316514,147.83,12.03225
740,749,native,0.350551,133.48,12.03225
750,759,mori,0.314607,148.73,12.043153
750,759,native,0.352647,132.68,12.043153
760,769,mori,0.31591,148.11,11.99404
760,769,native,0.354872,131.85,11.99404
770,779,mori,0.3153,148.4,12.010664
770,779,native,0.354969,131.82,12.010664
780,789,mori,0.315976,148.08,12.045522
780,789,native,0.354419,132.02,12.045522
790,799,mori,0.315698,148.21,12.011576
790,799,native,0.353781,132.26,12.011576
800,809,mori,0.320276,146.09,12.019797
800,809,native,0.350792,133.39,12.019797
810,819,mori,0.335455,139.48,12.005975
810,819,native,0.347159,134.78,12.005975
820,829,mori,0.315951,148.09,11.997761
820,829,native,0.350134,133.64,11.997761
830,839,mori,0.315725,148.2,12.005293
830,839,native,0.350211,133.61,12.005293
840,849,mori,0.316405,147.88,12.011609
840,849,native,0.349487,133.88,12.011609
850,859,mori,0.313536,149.23,12.020236
850,859,native,0.351417,133.15,12.020236
860,869,mori,0.314981,148.55,12.013082
860,869,native,0.350807,133.38,12.013082
870,879,mori,0.327612,142.82,11.992446
870,879,native,0.351009,133.3,11.992446
880,889,mori,0.314699,148.68,12.012284
880,889,native,0.35033,133.56,12.012284
890,899,mori,0.313921,149.05,12.00641
890,899,native,0.346822,134.91,12.00641
900,909,mori,0.315057,148.51,11.998857
900,909,native,0.348179,134.39,11.998857
910,919,mori,0.312816,149.58,12.01594
910,919,native,0.346571,135.01,12.01594
920,929,mori,0.312538,149.71,12.001378
920,929,native,0.360143,129.92,12.001378
930,939,mori,0.319963,146.24,11.998839
930,939,native,0.346905,134.88,11.998839
940,949,mori,0.317823,147.22,11.988297
940,949,native,0.355156,131.75,11.988297
950,959,mori,0.317432,147.4,12.023995
950,959,native,0.352019,132.92,12.023995
960,969,mori,0.319511,146.44,11.998327
960,969,native,0.348216,134.37,11.998327
970,979,mori,0.318799,146.77,12.004139
