per_rank_mb,iso_mori_gbs,iso_rccl_gbs,gemm_mori_gbs,gemm_rccl_gbs,mori_slowdown,rccl_slowdown
33.6,149.0,173.7,89.3,58.6,1.67,2.96
67.1,153.6,175.2,86.0,77.6,1.79,2.26
134.2,156.0,175.5,144.6,118.5,1.08,1.48
268.4,170.8,175.9,161.6,145.9,1.06,1.21
536.9,188.6,175.9,184.5,158.7,1.02,1.11
