size_mb,dtype,mori_gbs,rccl_gbs,ratio,bitexact
8,fp32,212.4,265.6,0.800,1
16,fp32,250.6,345.4,0.726,1
32,fp32,344.3,370.2,0.930,1
64,fp32,374.6,375.1,0.999,1
128,fp32,390.7,379.6,1.029,1
256,fp32,395.7,380.9,1.039,1
512,fp32,393.1,383.2,1.026,1
