size_mb,dtype,mori_gbs,rccl_gbs,ratio,bitexact
4,fp32,61.2,112.9,0.542,1
8,fp32,114.8,141.5,0.811,1
16,fp32,132.8,159.3,0.834,1
32,fp32,148.0,170.2,0.870,1
64,fp32,153.7,177.0,0.869,1
128,fp32,156.0,177.4,0.879,1
256,fp32,171.5,175.6,0.977,1
512,fp32,189.5,176.9,1.072,1
