step,native_loss,sdma_loss
10,11.074234,11.074234
20,11.064614,11.064614
30,11.067904,11.067904
40,11.060634,11.060634
50,11.061182,11.061182
60,11.092600,11.092600
70,11.076058,11.076058
80,11.069680,11.069680
90,11.043394,11.043394
100,11.049703,11.049703
110,10.545686,10.545686
120,10.480358,10.480358
130,10.484686,10.484686
140,10.468098,10.468098
150,10.470201,10.470201
160,10.432324,10.432324
170,10.444614,10.444614
180,10.475404,10.475404
190,10.438437,10.438437
200,10.443330,10.443330
210,10.431445,10.431445
220,10.436983,10.436983
230,10.446693,10.446693
240,10.431221,10.431221
250,10.430718,10.430718
260,10.442801,10.442801
270,10.435767,10.435767
280,10.426666,10.426666
290,10.436063,10.436063
300,10.453816,10.453816
310,10.429382,10.429382
320,10.417003,10.417003
330,10.424919,10.424919
340,10.446897,10.446897
350,10.432414,10.432414
360,10.421964,10.421964
370,10.438269,10.438269
380,10.425150,10.425150
390,10.419485,10.419485
400,10.430012,10.430012
410,10.417360,10.417360
420,10.410009,10.410009
430,10.433034,10.433034
440,10.421535,10.421535
450,10.418079,10.418079
460,10.431418,10.431418
470,10.418499,10.418499
480,10.417842,10.417842
490,10.416428,10.416428
500,10.411232,10.411232
