model,dtype,tokens,hidden,topk,experts_per_rank,kernel,selected_qp,accepted,recommended_qp,baseline_median_us,candidate_median_us,improvement_pct,candidate,recommended,paired_wins,bench_mean_pass,bench_tail_pass,baseline_us,candidate_us
r1,bf16,4,7168,8,16,v2,1,True,1,180.11000577424622,152.98411823359544,15.06073325801286,"[[16, 10, 4], [16, 10, 4]]","[[16, 10, 4], [16, 10, 4]]","[True, True, True]",True,True,"[182.63176247349074, 180.11000577424622, 172.95638972026265]","[154.6791484579444, 152.98411823359544, 144.70990487888199]"
r1,bf16,4,7168,8,16,v2_ll,1,True,1,110.11617419566831,84.596629230434,23.1751104246393,"[[80, 53, 4], [64, 42, 4]]","[[80, 53, 4], [64, 42, 4]]","[True, True, True]",True,True,"[110.11617419566831, 110.5144179731222, 108.23624316153341]","[85.6540579878693, 84.596629230434, 83.31373459177799]"
r1,bf16,16,7168,8,16,v2,1,True,1,194.3758445278067,175.336553410081,9.795091135926615,"[[32, 21, 4], [32, 21, 4]]","[[32, 21, 4], [32, 21, 4]]","[True, True, True]",True,True,"[200.10504913355769, 194.3758445278067, 187.93515021238346]","[176.5126591901584, 175.336553410081, 168.72502339939618]"
r1,bf16,16,7168,8,16,v2_ll,1,True,1,117.58709889194319,100.68233374602579,14.376377430190745,"[[32, 21, 8], [64, 42, 4]]","[[32, 21, 8], [64, 42, 4]]","[True, True, True]",True,True,"[117.58709889194319, 117.03262690872211, 117.90369162014846]","[100.68233374602579, 100.80644157554569, 99.62564195377817]"
r1,bf16,64,7168,8,16,v2,1,True,1,267.5370917623413,247.51054935542675,7.4855199609871415,"[[80, 48, 8], [16, 8, 8]]","[[80, 48, 8], [16, 8, 8]]","[True, True, True]",True,True,"[267.5370917623413, 268.0708809338253, 261.5197254665967]","[247.338206250349, 249.31050164239673, 247.51054935542675]"
r1,bf16,64,7168,8,16,v2_ll,1,False,2,204.5210879777783,195.7869326920602,4.27054020300689,"[[80, 48, 8], [32, 21, 8]]","[[96, 64, 8], [96, 64, 8]]","[True, True, True]",False,True,"[204.5210879777783, 203.88068048411915, 9583.94259529124]","[194.3507064936747, 195.7869326920602, 9445.198511817203]"
r1,bf16,256,7168,8,16,v2,4,False,2,544.5048325406067,515.4269811986335,5.340237515670665,"[[80, 48, 8], [80, 48, 8]]","[[96, 64, 8], [96, 64, 8]]","[True, True, False]",False,True,"[544.5048325406067, 547.9191471019695, 542.7748233979119]","[499.87371914602556, 515.4269811986335, 546.6145634137351]"
r1,bf16,256,7168,8,16,v2_ll,1,True,1,516.7967249029156,455.73509551970096,11.81540564032899,"[[80, 48, 8], [16, 10, 16]]","[[80, 48, 8], [16, 10, 16]]","[True, True, True]",True,True,"[517.6953538160386, 516.7967249029156, 513.6090673120885]","[456.1241497446237, 455.0003180729932, 455.73509551970096]"
r1,bf16,1024,7168,8,16,v2,8,False,2,1608.9866725278312,1425.6381039218656,11.395281995587448,"[[80, 48, 8], [80, 48, 8]]","[[96, 64, 8], [96, 64, 8]]","[False, True, True]",False,False,"[12380.66443145789, 1608.9866725278312, 1595.0099494436693]","[15837.945422799936, 1425.6381039218656, 1280.7896491140127]"
r1,bf16,1024,7168,8,16,v2_ll,8,True,8,1607.2912566877644,1374.6979722175106,14.47113480537261,"[[80, 53, 16], [80, 53, 8]]","[[80, 53, 16], [80, 53, 8]]","[True, True, True]",True,True,"[1607.2912566877644, 1627.4441063147167, 1604.2566767026638]","[1374.6979722175106, 1461.5304403906239, 1359.0648545530335]"
