model,dtype,tokens,hidden,topk,experts_per_rank,kernel,selected_qp,accepted,recommended_qp,baseline_median_us,candidate_median_us,improvement_pct,candidate,recommended,paired_wins,bench_mean_pass,bench_tail_pass,baseline_us,candidate_us
r1,bf16,4096,7168,8,16,v2,8,False,2,6756.243026975928,4929.901266149406,27.03191335087285,"[[80, 48, 8], [80, 48, 8]]","[[96, 64, 8], [96, 64, 8]]","[True, True, True]",False,True,"[14550.079143252866, 6756.243026975928, 6688.627881736591]","[16801.192818787593, 4929.901266149406, 4426.544035046265]"
r1,bf16,4096,7168,8,16,v2_ll,8,True,8,6222.509682692331,5049.527581395774,18.850627176349132,"[[32, 21, 16], [80, 53, 8]]","[[32, 21, 16], [80, 53, 8]]","[True, True, True]",True,True,"[6222.509682692331, 6223.301553520663, 6179.079096378951]","[5049.210281721477, 5442.5822193252625, 5049.527581395774]"
r1,bf16,8192,7168,8,16,v2,8,True,8,13010.640164387638,8503.743478964116,34.64008402722315,"[[80, 53, 16], [80, 53, 8]]","[[80, 53, 16], [80, 53, 8]]","[True, True, True]",True,True,"[12985.893496151628, 13134.479222112688, 13010.640164387638]","[8474.058105513966, 10072.555833849414, 8503.743478964116]"
r1,bf16,8192,7168,8,16,v2_ll,8,True,8,13252.164112082843,9186.888625909542,30.67631408568756,"[[80, 48, 8], [80, 48, 8]]","[[80, 48, 8], [80, 48, 8]]","[True, True, True]",True,True,"[13277.022424443016, 13166.80508852005, 13252.164112082843]","[9186.888625909542, 10336.672925743564, 9177.476545860027]"
r1,bf16,16384,7168,8,16,v2,1,True,1,25215.530001911622,21188.528276723006,15.970323546177001,"[[80, 48, 8], [32, 21, 16]]","[[80, 48, 8], [32, 21, 16]]","[True, True, True]",True,True,"[25215.530001911622, 25414.22953996165, 25141.854622240724]","[21185.83802108107, 21188.528276723006, 21190.650156859694]"
r1,bf16,16384,7168,8,16,v2_ll,8,False,2,25871.89516938966,17106.744564812758,33.879043445365355,"[[80, 48, 8], [32, 21, 16]]","[[96, 64, 8], [96, 64, 8]]","[True, False, False]",True,True,"[25697.717777613936, 25882.40477545508, 25871.89516938966]","[17106.744564812758, 18810.143020646326, 17086.42944282499]"
r1,fp8,4,7168,8,16,v2,1,False,2,176.5524306222154,152.70587906305647,13.506781795706612,"[[8, 4, 4], [32, 21, 4]]","[[96, 64, 8], [96, 64, 8]]","[False, False, True]",False,False,"[176.5524306222154, 177.49750382941346, 169.1977690648416]","[152.70587906305647, 21967.323200873518, 147.8283080866496]"
r1,fp8,4,7168,8,16,v2_ll,1,False,2,109.74243943226234,106.77666986232688,2.702481906980081,"[[80, 48, 8], [80, 48, 8]]","[[96, 64, 8], [96, 64, 8]]","[False, True, True]",False,False,"[110.0519544541322, 109.74243943226234, 107.76589196657055]","[114.71782500277563, 106.77666986232688, 94.56627791073045]"
r1,fp8,16,7168,8,16,v2,1,False,2,185.69491750657045,165.58646942199817,10.828755226357112,"[[80, 40, 4], [16, 10, 4]]","[[96, 64, 8], [96, 64, 8]]","[False, True, True]",True,True,"[187.54913303037657, 185.69491750657045, 180.92547122645993]","[166.59808994656237, 165.58646942199817, 159.8313099158735]"
r1,fp8,16,7168,8,16,v2_ll,1,True,1,114.1672734781329,98.83423038790453,13.430331322719379,"[[80, 40, 8], [64, 32, 8]]","[[80, 40, 8], [64, 32, 8]]","[True, True, True]",True,True,"[125.7218876452153, 114.1672734781329, 112.6412669485756]","[99.18935955020375, 98.83423038790453, 98.66341346361]"
r1,fp8,64,7168,8,16,v2,1,False,2,242.19598229332217,222.79966309473946,8.008522278083019,"[[16, 8, 8], [16, 10, 8]]","[[96, 64, 8], [96, 64, 8]]","[True, True, False]",True,True,"[242.19598229332217, 242.3605746429028, 237.57347329680263]","[222.79966309473946, 224.0856760823778, 220.86892623839708]"
r1,fp8,64,7168,8,16,v2_ll,1,True,1,186.06044159367167,173.54864194379027,6.724588817866673,"[[64, 32, 8], [32, 21, 8]]","[[64, 32, 8], [32, 21, 8]]","[True, True, True]",True,True,"[186.06044159367167, 185.46565678291793, 186.1006656404713]","[173.53881853793203, 174.12901671346407, 173.54864194379027]"
r1,fp8,256,7168,8,16,v2,4,False,2,463.18018210024155,440.66411680702504,4.86118926572372,"[[80, 48, 8], [80, 48, 8]]","[[96, 64, 8], [96, 64, 8]]","[False, False, True]",True,True,"[463.18018210024155, 467.0380137635973, 461.12144465461887]","[440.66411680702504, 441.24715833057616, 434.5491540875157]"
r1,fp8,256,7168,8,16,v2_ll,1,True,1,430.9579338236102,376.92808066013043,12.537152451077516,"[[80, 48, 8], [16, 10, 16]]","[[80, 48, 8], [16, 10, 16]]","[True, True, True]",True,True,"[434.07304671689354, 430.9579338236102, 429.9545269298913]","[377.2878008412904, 376.92808066013043, 376.80247739150093]"
r1,fp8,1024,7168,8,16,v2,8,True,8,1314.9329648064129,1077.7927186853926,18.03439813800185,"[[80, 53, 8], [80, 53, 8]]","[[80, 53, 8], [80, 53, 8]]","[True, True, True]",True,True,"[1314.9329648064129, 1321.0965174025503, 1309.7791298581608]","[1077.7927186853926, 1179.965284363977, 1073.5957136955753]"
r1,fp8,1024,7168,8,16,v2_ll,8,True,8,1337.452556552558,1086.4924995292877,18.764034342283477,"[[80, 48, 8], [32, 21, 8]]","[[80, 48, 8], [32, 21, 8]]","[True, True, True]",True,True,"[1337.452556552558, 1339.7842786949257, 1315.520171332976]","[1086.4924995292877, 1134.5184706151485, 1081.0094579797367]"
r1,fp8,4096,7168,8,16,v2,8,True,8,5243.064252466991,3529.5875655679865,32.68082564681086,"[[80, 53, 16], [80, 53, 8]]","[[80, 53, 16], [80, 53, 8]]","[True, True, True]",True,True,"[5243.064252466991, 5235.020018343268, 5251.595367902311]","[3524.952763884232, 4076.2872693353684, 3529.5875655679865]"
r1,fp8,4096,7168,8,16,v2_ll,8,True,8,5096.608856885598,3802.7855730776128,25.385963885771012,"[[80, 53, 8], [32, 21, 16]]","[[80, 53, 8], [32, 21, 16]]","[True, True, True]",True,True,"[5096.608856885598, 5035.4628067078265, 5097.989679667457]","[3802.7855730776128, 4046.653982380341, 3791.7188806780455]"
r1,fp8,8192,7168,8,16,v2,8,True,8,10029.320113103966,6749.898336570838,32.69834584548107,"[[80, 48, 8], [80, 53, 8]]","[[80, 48, 8], [80, 53, 8]]","[True, True, True]",True,True,"[9959.010887248764, 10099.174023188394, 10029.320113103966]","[6687.609559246178, 7845.496577692443, 6749.898336570838]"
r1,fp8,8192,7168,8,16,v2_ll,8,True,8,10113.222078516566,7484.094462261118,25.99693347820852,"[[80, 48, 8], [80, 48, 8]]","[[80, 48, 8], [80, 48, 8]]","[True, True, True]",True,True,"[10164.167926743114, 10085.276053383433, 10113.222078516566]","[7484.094462261118, 8096.134647213179, 7454.191224328403]"
r1,fp8,16384,7168,8,16,v2,8,True,8,19171.878988372868,13583.403231254939,29.149337738398827,"[[80, 53, 16], [80, 53, 8]]","[[80, 53, 16], [80, 53, 8]]","[True, True, True]",True,True,"[19171.878988372868, 18827.139279965697, 26931.99122568657]","[13583.403231254939, 15147.720853830206, 13578.145508108468]"
r1,fp8,16384,7168,8,16,v2_ll,8,True,8,19801.585420452317,16531.274581777638,16.515398990713624,"[[64, 32, 16], [64, 42, 4]]","[[64, 32, 16], [64, 42, 4]]","[True, True, True]",True,True,"[19801.585420452317, 19547.038241707047, 19883.272284063798]","[16531.274581777638, 17205.02378406196, 16519.992226156694]"
v4_flash,bf16,4,4096,6,16,v2,1,True,1,135.47621510826565,121.52719345939313,10.296288272982213,"[[80, 48, 8], [80, 48, 8]]","[[80, 48, 8], [80, 48, 8]]","[True, True, True]",True,True,"[139.26675865940493, 135.47621510826565, 132.79655374233323]","[125.40870869596456, 121.52719345939313, 118.9507344288045]"
v4_flash,bf16,4,4096,6,16,v2_ll,1,True,1,100.73372162878513,78.85834901465168,21.716037351172844,"[[64, 42, 4], [32, 21, 8]]","[[64, 42, 4], [32, 21, 8]]","[True, True, True]",True,True,"[100.59769151346951, 101.37986179826588, 100.73372162878513]","[78.9188209415317, 78.85834901465168, 76.15130573334494]"
v4_flash,bf16,16,4096,6,16,v2,1,True,1,142.19577121548355,117.51926909521993,17.3538930935357,"[[8, 5, 4], [32, 21, 4]]","[[8, 5, 4], [32, 21, 4]]","[True, True, True]",True,True,"[157.99751248339126, 142.19577121548355, 137.51051460135858]","[121.27130802977702, 117.51926909521993, 116.08098037059194]"
v4_flash,bf16,16,4096,6,16,v2_ll,1,True,1,104.39398465678096,82.98282741954357,20.509953047229157,"[[64, 32, 4], [32, 21, 4]]","[[64, 32, 4], [32, 21, 4]]","[True, True, True]",True,True,"[104.42736611605204, 104.37281652161016, 104.39398465678096]","[83.63864845435681, 82.98282741954357, 82.6166010590206]"
v4_flash,bf16,64,4096,6,16,v2,1,True,1,179.19048019845425,164.2008941331557,8.36516875712231,"[[80, 48, 8], [16, 10, 8]]","[[80, 48, 8], [16, 10, 8]]","[True, True, True]",True,True,"[185.3008076131087, 179.19048019845425, 176.45364384777073]","[166.6629350069782, 162.74263536364867, 164.2008941331557]"
v4_flash,bf16,64,4096,6,16,v2_ll,1,True,1,146.5384006371786,135.11196108823964,7.797573536530011,"[[80, 48, 8], [64, 32, 4]]","[[80, 48, 8], [64, 32, 4]]","[True, True, True]",True,True,"[146.9853401007452, 146.5384006371786, 145.75111821036916]","[134.67352545081542, 142.82649945756742, 135.11196108823964]"
v4_flash,bf16,256,4096,6,16,v2,4,False,2,334.4141041442495,310.594219312971,7.1228708765835425,"[[80, 40, 8], [80, 53, 8]]","[[96, 64, 8], [96, 64, 8]]","[False, True, False]",False,True,"[333.3500191601443, 336.57048883494633, 334.4141041442495]","[310.594219312971, 307.9990549494737, 330.3351869389158]"
v4_flash,bf16,256,4096,6,16,v2_ll,1,True,1,333.3634794850288,285.33111763154636,14.408405482112663,"[[80, 53, 4], [16, 8, 16]]","[[80, 53, 4], [16, 8, 16]]","[True, True, True]",True,True,"[333.3634794850288, 334.97195612189586, 332.48128838323316]","[285.26535741021405, 285.33111763154636, 286.04477303552216]"
v4_flash,bf16,1024,4096,6,16,v2,8,True,8,918.5099746903469,786.2420195135577,14.400274229071941,"[[80, 53, 16], [80, 53, 8]]","[[80, 53, 16], [80, 53, 8]]","[True, True, True]",True,True,"[918.5099746903469, 923.7973719578365, 917.2715231262405]","[775.4706375557801, 810.2669766622371, 786.2420195135577]"
v4_flash,bf16,1024,4096,6,16,v2_ll,8,True,8,920.703574565464,763.5848556227725,17.06507102645337,"[[80, 53, 8], [32, 21, 16]]","[[80, 53, 8], [32, 21, 16]]","[True, True, True]",True,True,"[920.703574565464, 940.9188767573957, 916.9836974349515]","[763.5848556227725, 814.4469557908075, 759.0900890786072]"
v4_flash,bf16,4096,4096,6,16,v2,8,True,8,3922.7421234907774,2562.4252620699076,34.6777029587239,"[[80, 48, 8], [80, 48, 8]]","[[80, 48, 8], [80, 48, 8]]","[True, True, True]",True,True,"[3873.277994065449, 4028.4080529778166, 3922.7421234907774]","[2562.4252620699076, 2778.6659916927074, 2539.781932173104]"
v4_flash,bf16,4096,4096,6,16,v2_ll,8,True,8,3411.904363539712,2645.010977212725,22.476989522982016,"[[80, 53, 16], [80, 53, 8]]","[[80, 53, 16], [80, 53, 8]]","[True, True, True]",True,True,"[3408.4863475170628, 3412.812697733271, 3411.904363539712]","[2645.010977212725, 2883.2041819033952, 2620.341085154435]"
v4_flash,bf16,8192,4096,6,16,v2,8,True,8,7706.448442463217,4714.662691642498,38.82184865256105,"[[32, 21, 16], [80, 48, 8]]","[[32, 21, 16], [80, 48, 8]]","[True, True, True]",True,True,"[7706.448442463217, 7774.91374262448, 7644.570990112321]","[4712.947491171031, 5293.5623865703055, 4714.662691642498]"
v4_flash,bf16,8192,4096,6,16,v2_ll,8,True,8,7424.5205855575105,4700.271720002437,36.69258956402379,"[[80, 53, 8], [32, 21, 16]]","[[80, 53, 8], [32, 21, 16]]","[True, True, True]",True,True,"[7424.5205855575105, 7385.014008859108, 7451.024922317472]","[4700.271720002437, 5275.473038184232, 4690.039535277876]"
v4_flash,bf16,16384,4096,6,16,v2,1,True,1,15188.268584424051,12137.191908112887,20.08837715340457,"[[80, 48, 8], [80, 48, 8]]","[[80, 48, 8], [80, 48, 8]]","[True, True, True]",True,True,"[15188.268584424051, 15130.393971656931, 15476.720216973075]","[12137.191908112887, 12134.98406266344, 12152.021091559838]"
v4_flash,bf16,16384,4096,6,16,v2_ll,8,True,8,13543.651746264819,9323.904524075573,31.156642988498305,"[[80, 48, 8], [32, 21, 16]]","[[80, 48, 8], [32, 21, 16]]","[True, True, True]",True,True,"[13543.651746264819, 13347.337262383822, 13574.211742343574]","[9283.845452912923, 10560.43490459179, 9323.904524075573]"
v4_flash,fp8,4,4096,6,16,v2,1,False,2,139.48564843981174,128.97790913823349,7.5332046121665,"[[32, 16, 8], [16, 8, 8]]","[[96, 64, 8], [96, 64, 8]]","[True, True, False]",True,False,"[143.1367926476202, 139.48564843981174, 137.6153228017662]","[119.81057304214558, 135.7627453298533, 128.97790913823349]"
v4_flash,fp8,4,4096,6,16,v2_ll,1,False,2,103.40314849022904,112.23081003168019,-8.537130319861873,"[[16, 10, 16], [8, 5, 4]]","[[96, 64, 8], [96, 64, 8]]","[True, True, True]",False,False,"[103.40314849022904, 125.43390712154836, 101.99636619152695]","[112.23081003168019, 89.21080370883233, 114.34006432456702]"
v4_flash,fp8,16,4096,6,16,v2,1,False,2,143.34492851048708,125.9423465837307,12.140354114783502,"[[16, 8, 4], [8, 4, 8]]","[[96, 64, 8], [96, 64, 8]]","[False, True, True]",True,False,"[149.23296083599843, 143.34492851048708, 139.13175398644447]","[125.9423465837307, 121.66193513809864, 134.57954915015605]"
v4_flash,fp8,16,4096,6,16,v2_ll,1,False,2,124.32158155495236,88.02572817638003,29.195134846743333,"[[16, 10, 16], [80, 53, 4]]","[[96, 64, 8], [96, 64, 8]]","[False, True, False]",False,True,"[12168.072511602579, 124.18070032486114, 124.32158155495236]","[10185.626348609041, 88.02572817638003, 86.79752987167188]"
v4_flash,fp8,64,4096,6,16,v2,1,False,2,173.86593955472625,161.11340295876664,7.3346951269576355,"[[16, 10, 16], [32, 21, 8]]","[[96, 64, 8], [96, 64, 8]]","[True, True, False]",True,True,"[178.1081223683753, 173.86593955472625, 173.52035956393027]","[161.11340295876664, 158.0418811886218, 161.3870620615138]"
v4_flash,fp8,64,4096,6,16,v2_ll,2,True,2,143.17333589886027,126.96459887806198,11.321058435244103,"[[80, 48, 8], [80, 48, 8]]","[[80, 48, 8], [80, 48, 8]]","[True, True, True]",True,True,"[133.77622394533506, 143.17333589886027, 145.61983591330977]","[126.30862902432423, 126.96459887806198, 137.98805570294118]"
v4_flash,fp8,256,4096,6,16,v2,4,True,4,290.39395197519457,265.95022583958405,8.417436371987009,"[[80, 48, 8], [32, 21, 16]]","[[80, 48, 8], [32, 21, 16]]","[True, True, True]",True,True,"[290.4991325280019, 290.39395197519457, 288.91541715711355]","[264.0560447912792, 265.95022583958405, 268.3570661806855]"
v4_flash,fp8,256,4096,6,16,v2_ll,1,True,1,282.8735205312741,241.93858766350252,14.471108073633165,"[[80, 48, 8], [16, 8, 16]]","[[80, 48, 8], [16, 8, 16]]","[True, True, True]",True,True,"[283.8244349053451, 282.8735205312741, 281.9542475526446]","[241.9352322367245, 241.93858766350252, 242.93311354543627]"
v4_flash,fp8,1024,4096,6,16,v2,8,False,2,753.7446678134388,639.8074298711687,15.116158403188996,"[[80, 48, 8], [80, 53, 8]]","[[96, 64, 8], [96, 64, 8]]","[True, False, True]",True,True,"[752.5493393106193, 754.8549363132695, 753.7446678134388]","[630.0099503634304, 673.2029080840534, 639.8074298711687]"
v4_flash,fp8,1024,4096,6,16,v2_ll,8,True,8,741.8664871425979,624.9101335375474,15.765148531715479,"[[80, 53, 8], [32, 21, 16]]","[[80, 53, 8], [32, 21, 16]]","[True, True, True]",True,True,"[738.2367990332945, 755.0625695429485, 741.8664871425979]","[624.9101335375474, 657.5731666887115, 621.0015745319683]"
v4_flash,fp8,4096,4096,6,16,v2,8,True,8,2587.8198598993235,1969.2929487290053,23.90146705166647,"[[80, 53, 16], [80, 48, 8]]","[[80, 53, 16], [80, 48, 8]]","[True, True, True]",True,True,"[2579.742044981184, 2609.821355034565, 2587.8198598993235]","[1955.9015360628737, 2228.838641068031, 1969.2929487290053]"
v4_flash,fp8,4096,4096,6,16,v2_ll,8,True,8,2611.8347992927866,2093.508154924574,19.845307387303425,"[[80, 53, 16], [32, 21, 8]]","[[80, 53, 16], [32, 21, 8]]","[True, True, True]",True,True,"[2611.8347992927866, 2626.216946105505, 2605.8801011792543]","[2093.508154924574, 2239.3382446005426, 2087.8997651924346]"
v4_flash,fp8,8192,4096,6,16,v2,8,False,2,5706.4415599251615,4178.0425244621165,26.78374989759975,"[[80, 53, 16], [80, 48, 8]]","[[96, 64, 8], [96, 64, 8]]","[True, True, True]",False,False,"[5656.050980861844, 11142.296037540353, 5706.4415599251615]","[3641.865189090885, 4178.0425244621165, 19460.620955531966]"
v4_flash,fp8,8192,4096,6,16,v2_ll,8,True,8,6059.498842420249,3880.433731680286,35.961144104610696,"[[80, 53, 16], [80, 53, 8]]","[[80, 53, 16], [80, 53, 8]]","[True, True, True]",True,True,"[6059.498842420249, 5881.849019178028, 6080.440814125127]","[3880.433731680286, 4275.918856263161, 3822.7033812938066]"
v4_flash,fp8,16384,4096,6,16,v2,8,True,8,11000.03580594885,7596.964290686722,30.936913072789608,"[[80, 48, 8], [32, 21, 16]]","[[80, 48, 8], [32, 21, 16]]","[True, True, True]",True,True,"[11000.03580594885, 10866.486539100779, 11104.831042474714]","[7596.964290686722, 8340.311789820935, 7538.946863906137]"
v4_flash,fp8,16384,4096,6,16,v2_ll,8,False,2,10635.150832348856,9222.430462467259,13.283501025528821,"[[80, 48, 8], [32, 21, 16]]","[[96, 64, 8], [96, 64, 8]]","[True, True, True]",False,False,"[10641.147397201637, 10532.073229551315, 10635.150832348856]","[11600.889824587723, 9222.430462467259, 7386.823210222968]"
v4_pro,bf16,4,7168,6,24,v2,1,True,1,168.62156841068946,143.9299113036872,14.643237718477408,"[[8, 4, 4], [16, 8, 4]]","[[8, 4, 4], [16, 8, 4]]","[True, True, True]",True,True,"[172.5353917893793, 168.62156841068946, 166.01947796177762]","[147.89581644862633, 143.9299113036872, 141.85742833169883]"
v4_pro,bf16,4,7168,6,24,v2_ll,1,True,1,106.82770652407459,85.27876471233522,20.171678783427893,"[[64, 42, 4], [32, 21, 4]]","[[64, 42, 4], [32, 21, 4]]","[True, True, True]",True,True,"[106.63707723744727, 108.17576680685683, 106.82770652407459]","[86.95362493042545, 84.01376706676493, 85.27876471233522]"
v4_pro,bf16,16,7168,6,24,v2,1,False,2,181.3558530512041,162.92071960673763,10.165171476027012,"[[8, 5, 8], [64, 32, 4]]","[[96, 64, 8], [96, 64, 8]]","[False, True, True]",False,False,"[10208.260315799573, 181.3558530512041, 177.42216538894792]","[12265.3035156204, 162.92071960673763, 161.52000414400266]"
v4_pro,bf16,16,7168,6,24,v2_ll,1,False,2,115.79074533174521,98.84628205528033,14.633693934621729,"[[32, 16, 8], [64, 32, 8]]","[[96, 64, 8], [96, 64, 8]]","[False, True, True]",True,True,"[115.79074533174521, 116.1156935970588, 115.1616183141696]","[99.48953003462019, 98.84628205528033, 98.15467210839792]"
v4_pro,bf16,64,7168,6,24,v2,1,True,1,248.03722776665256,232.25981437055202,6.360905392372618,"[[80, 48, 8], [16, 10, 8]]","[[80, 48, 8], [16, 10, 8]]","[True, True, True]",True,True,"[247.47397790759288, 249.67075181033076, 248.03722776665256]","[231.0016502883157, 232.66239188097674, 232.25981437055202]"
v4_pro,bf16,64,7168,6,24,v2_ll,1,True,1,194.5454477139845,180.08711373690386,7.431854174422458,"[[80, 48, 8], [32, 21, 8]]","[[80, 48, 8], [32, 21, 8]]","[True, True, True]",True,True,"[195.4853443493103, 193.5435767799359, 194.5454477139845]","[182.4115556664765, 180.08711373690386, 179.12066978370322]"
v4_pro,bf16,256,7168,6,24,v2,4,False,2,514.7621062552107,467.7891046258396,9.125186383879358,"[[80, 48, 8], [80, 40, 16]]","[[96, 64, 8], [96, 64, 8]]","[True, True, False]",False,True,"[510.4456220528689, 514.7621062552107, 517.1663398886549]","[467.7891046258396, 467.15758053650114, 509.89785183478017]"
v4_pro,bf16,256,7168,6,24,v2_ll,4,True,4,494.7803563855845,453.2836235353145,8.386899826300176,"[[64, 42, 8], [32, 21, 8]]","[[64, 42, 8], [32, 21, 8]]","[True, True, True]",True,True,"[494.7803563855845, 498.0964089968595, 490.69037580669954]","[442.6285379148763, 453.2836235353145, 461.9506083685776]"
v4_pro,bf16,1024,7168,6,24,v2,8,False,2,1543.2229840421471,1348.088818827066,12.64458650712733,"[[80, 53, 16], [80, 48, 8]]","[[96, 64, 8], [96, 64, 8]]","[True, True, True]",False,True,"[1531.2906359161796, 1543.2229840421471, 14549.948071033275]","[1217.360065029613, 1348.088818827066, 14854.251041173422]"
v4_pro,bf16,1024,7168,6,24,v2_ll,8,False,2,1575.3815386058955,1235.711894030201,21.561103532816496,"[[80, 53, 8], [32, 21, 8]]","[[96, 64, 8], [96, 64, 8]]","[True, True, False]",True,True,"[1548.0921569055524, 1575.3815386058955, 16295.335836580087]","[1235.711894030201, 1341.7255504634873, 1231.2225551697716]"
v4_pro,bf16,4096,7168,6,24,v2,8,True,8,6294.178450415874,4256.199035922001,32.37879940247353,"[[80, 53, 16], [80, 48, 8]]","[[80, 53, 16], [80, 48, 8]]","[True, True, True]",True,True,"[6294.178450415874, 6417.67194353301, 6208.7901971977335]","[4194.725006304938, 4694.332232763028, 4256.199035922001]"
v4_pro,bf16,4096,7168,6,24,v2_ll,8,True,8,6074.732897096666,4439.666723382884,26.91585295042749,"[[80, 53, 16], [32, 21, 8]]","[[80, 53, 16], [32, 21, 8]]","[True, True, True]",True,True,"[6074.732897096666, 6101.560991642804, 6014.411244156032]","[4364.7972535470435, 4949.60281098711, 4439.666723382884]"
v4_pro,bf16,8192,7168,6,24,v2,8,False,2,13028.05258641983,8423.225088879979,35.34547828230158,"[[80, 53, 4], [80, 53, 8]]","[[96, 64, 8], [96, 64, 8]]","[True, False, True]",True,True,"[13028.05258641983, 13106.22680289992, 13003.282137472053]","[8423.225088879979, 9831.114484318372, 8127.279302169537]"
v4_pro,bf16,8192,7168,6,24,v2_ll,8,False,2,12662.088245153427,9284.884949182642,26.671771911425846,"[[80, 48, 8], [32, 21, 8]]","[[96, 64, 8], [96, 64, 8]]","[True, True, True]",False,False,"[12633.462493275774, 12662.088245153427, 12716.143240702564]","[8328.265478384907, 9284.884949182642, 25500.660850056287]"
v4_pro,bf16,16384,7168,6,24,v2,8,True,8,25322.413466100035,16975.44800618599,32.962756378211765,"[[80, 48, 8], [80, 48, 8]]","[[80, 48, 8], [80, 48, 8]]","[True, True, True]",True,True,"[25235.343501485626, 25452.341134178227, 25322.413466100035]","[16953.84854900426, 18797.56417459455, 16975.44800618599]"
v4_pro,bf16,16384,7168,6,24,v2_ll,8,False,2,24769.019781515515,16186.647517927762,34.64962416475018,"[[80, 48, 8], [32, 21, 16]]","[[96, 64, 8], [96, 64, 8]]","[False, True, True]",False,False,"[24646.708059927514, 24769.019781515515, 24853.148869399367]","[16148.34371928511, 24521.531886067885, 16186.647517927762]"
v4_pro,fp8,4,7168,6,24,v2,1,True,1,168.59666982280282,142.18021295001282,15.668433368555878,"[[8, 5, 4], [8, 5, 4]]","[[8, 5, 4], [8, 5, 4]]","[True, True, True]",True,True,"[170.0730298340706, 168.59666982280282, 162.46606619097292]","[146.1617238418167, 142.18021295001282, 139.67028616702763]"
v4_pro,fp8,4,7168,6,24,v2_ll,1,True,1,107.71045660407378,82.9634287892359,22.975511008930127,"[[80, 40, 4], [64, 42, 4]]","[[80, 40, 4], [64, 42, 4]]","[True, True, True]",True,True,"[107.71045660407378, 120.90955146363584, 106.43884895273067]","[83.64502779721957, 82.9634287892359, 82.23827782183372]"
